"File","Words","Chars","Paragraphs"
"capitulo1.md","1484","9670","239"
"capitulo2.md","1928","12158","270"
"capitulo3.md","1144","7064","131"
"capitulo4.md","882","5987","168"
"capitulo5.md","1341","8892","281"
"capitulo6.md","1391","9320","251"
"capitulo7.md","488","3283","101"
"capitulo8.md","865","5681","175"
"capitulo9.md","1087","6803","171"
"capitulo10.md","875","5506","112"
"fichas_del_codigo_secreto.md","1866","12170","162"
"el_hacker_feroz.md","13351","86554","2049"
"Totals (capitulos + fichas)","13351","86534","2061"
